roi_ind,important,r,p,r_abs,r_sign
240,0.0,-0.22,0.4866235405437668,0.22,neg
241,0.0,-0.2,0.5353337176623355,0.2,neg
242,0.0,-0.29,0.3591206510066305,0.29,neg
243,0.0,0.16,0.61405703821604,0.16,pos
244,0.0,0.26,0.4123441152688033,0.26,pos
245,0.0,0.07,0.8231709309842241,0.07,pos
246,0.0,-0.22,0.49072968494840363,0.22,neg
247,0.0,0.23,0.4722760791511836,0.23,pos
248,0.0,0.07,0.8344994389196864,0.07,pos
249,0.0,-0.03,0.9207564738174118,0.03,neg
250,0.0,0.17,0.6032123549355035,0.17,pos
251,0.0,0.41,0.18367921891182404,0.41,pos
252,0.0,0.31,0.3290904771238453,0.31,pos
253,0.0,-0.08,0.7995968936180072,0.08,neg
254,0.0,-0.13,0.692920290241789,0.13,neg
255,0.0,-0.41,0.18593158533520654,0.41,neg
256,0.0,-0.41,0.18032483558971105,0.41,neg
257,0.0,0.09,0.7723284156029547,0.09,pos
258,0.0,-0.01,0.9705810639321748,0.01,neg
259,0.0,-0.49,0.10210733298940973,0.49,neg
260,0.0,-0.32,0.3168070411807652,0.32,neg
261,0.0,-0.45,0.14532830143721168,0.45,neg
262,0.0,-0.03,0.9298877895016937,0.03,neg
263,0.0,0.12,0.7138457236216624,0.12,pos
264,0.0,0.05,0.8712119947414709,0.05,pos
265,0.0,0.24,0.4441208534900089,0.24,pos
266,0.0,-0.02,0.9515157973712098,0.02,neg
267,0.0,0.14,0.6570134508331424,0.14,pos
268,0.0,0.08,0.8033014205679593,0.08,pos
269,0.0,-0.07,0.835146036622441,0.07,neg
270,0.0,-0.09,0.7755142159440125,0.09,neg
271,0.0,-0.1,0.760850872029039,0.1,neg
272,0.0,0.06,0.8490037429514009,0.06,pos
273,0.0,-0.32,0.31658147645273066,0.32,neg
